Team,Playoffs
Atlanta Hawks,Play-in Team
Boston Celtics,Playoff Team
Brooklyn Nets,Play-in Team
Charlotte Hornets,Play-in Team
Chicago Bulls,Playoff Team
Cleveland Cavaliers,Play-in Team
Dallas Mavericks,Playoff Team
Denver Nuggets,Playoff Team
Detroit Pistons,No Playoffs
Golden State Warriors,Playoff Team
Houston Rockets,No Playoffs
Indiana Pacers,No Playoffs
LA Clippers,Play-in Team
Los Angeles Lakers,No Playoffs
Memphis Grizzlies,Playoff Team
Miami Heat,Playoff Team
Milwaukee Bucks,Playoff Team
Minnesota Timberwolves,Play-in Team
New Orleans Pelicans,Play-in Team
New York Knicks,No Playoffs
Oklahoma City Thunder,No Playoffs
Orlando Magic,No Playoffs
Philadelphia 76ers,Playoff Team
Phoenix Suns,Playoff Team
Portland Trail Blazers,No Playoffs
Sacramento Kings,No Playoffs
San Antonio Spurs,Play-in Team
Toronto Raptors,Playoff Team
Utah Jazz,Playoff Team
Washington Wizards,No Playoffs
