Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Player-additional
1,Trae Young,PG,24,ATL,12,12,422,103,272,.379,28,92,.304,75,180,.417,.430,95,105,.905,11,27,38,112,10,2,45,17,329,youngtr01
2,Onyeka Okongwu,C,22,ATL,12,0,239,45,67,.672,0,1,.000,45,66,.682,.672,10,15,.667,23,45,68,12,7,10,8,38,100,okongon01
3,Dejounte Murray,SG,26,ATL,13,13,476,115,253,.455,25,77,.325,90,176,.511,.504,27,31,.871,12,70,82,104,29,6,31,23,282,murrade01
4,Tyrese Martin,SG,23,ATL,5,0,15,3,5,.600,1,2,.500,2,3,.667,.700,0,0,,1,0,1,0,1,0,0,1,7,martity01
5,Vit Krejci,PG,22,ATL,5,0,13,3,5,.600,2,4,.500,1,1,1.000,.800,0,0,,0,2,2,1,0,0,0,2,8,krejcvi01
6,Frank Kaminsky,C,29,ATL,5,0,28,3,5,.600,0,1,.000,3,4,.750,.600,4,4,1.000,0,6,6,3,0,0,1,7,10,kaminfr01
7,Jalen Johnson,SF,21,ATL,13,0,182,22,49,.449,3,17,.176,19,32,.594,.480,8,12,.667,6,36,42,9,9,3,6,18,55,johnsja05
8,De'Andre Hunter,SF,25,ATL,13,13,384,76,161,.472,18,51,.353,58,110,.527,.528,25,35,.714,10,41,51,12,4,2,18,45,195,huntede01
9,Justin Holiday,SG,33,ATL,13,0,252,31,80,.388,19,56,.339,12,24,.500,.506,0,0,,1,15,16,15,4,4,8,25,81,holidju01
10,Aaron Holiday,PG,26,ATL,13,1,249,25,56,.446,8,16,.500,17,40,.425,.518,8,9,.889,6,11,17,23,10,3,12,21,66,holidaa01
11,AJ Griffin,SF,19,ATL,9,0,109,24,47,.511,11,24,.458,13,23,.565,.628,3,3,1.000,4,10,14,5,6,0,3,8,62,griffaj01
12,Trent Forrest,PG,24,ATL,4,0,14,0,3,.000,0,0,,0,3,.000,.000,0,0,,0,2,2,3,0,0,0,1,0,forretr01
13,Jarrett Culver,SG,23,ATL,1,0,3,0,1,.000,0,0,,0,1,.000,.000,1,2,.500,1,0,1,0,0,0,0,0,1,culveja01
14,John Collins,PF,25,ATL,13,13,408,62,123,.504,9,36,.250,53,87,.609,.541,28,30,.933,19,84,103,14,9,17,18,42,161,collijo01
15,Clint Capela,C,28,ATL,13,13,353,63,108,.583,0,0,,63,108,.583,.583,14,24,.583,55,101,156,8,9,19,15,25,140,capelca01
16,Grant Williams,PF,24,BOS,12,4,338,39,64,.609,20,40,.500,19,24,.792,.766,16,20,.800,9,49,58,23,7,8,9,33,114,willigr01
17,Derrick White,SG,28,BOS,13,10,325,37,89,.416,18,46,.391,19,43,.442,.517,17,20,.850,8,36,44,38,6,12,7,37,109,whitede01
18,Noah Vonleh,C,27,BOS,11,1,125,10,19,.526,1,2,.500,9,17,.529,.553,2,2,1.000,16,20,36,4,2,6,8,25,23,vonleno01
19,Jayson Tatum,PF,24,BOS,13,13,487,135,270,.500,48,124,.387,87,146,.596,.589,102,117,.872,10,84,94,53,10,17,32,29,420,tatumja01
20,Marcus Smart,PG,28,BOS,13,13,428,49,124,.395,20,70,.286,29,54,.537,.476,19,23,.826,3,37,40,91,16,3,20,39,137,smartma01
21,Payton Pritchard,PG,25,BOS,6,0,60,11,25,.440,3,11,.273,8,14,.571,.500,2,4,.500,5,6,11,7,1,0,8,3,27,pritcpa01
22,Luke Kornet,C,27,BOS,9,0,112,11,21,.524,1,3,.333,10,18,.556,.548,7,8,.875,13,16,29,12,2,7,6,13,30,kornelu01
23,Justin Jackson,SF,27,BOS,3,0,15,2,6,.333,2,5,.400,0,1,.000,.500,0,0,,0,1,1,1,0,0,0,2,6,jacksju01
24,Al Horford,C,36,BOS,10,10,314,43,77,.558,22,46,.478,21,31,.677,.701,4,7,.571,9,52,61,21,4,7,7,21,112,horfoal01
25,Sam Hauser,PF,25,BOS,13,0,202,34,66,.515,26,57,.456,8,9,.889,.712,3,4,.750,4,22,26,8,3,3,1,18,97,hausesa01
