Rk,Team,Conf,Div,W,L,W/L%,MOV,ORtg,DRtg,NRtg,MOV/A,ORtg/A,DRtg/A,NRtg/A
1,Boston Celtics,E,A,21,6,.778,7.89,121.16,113.02,8.14,8.27,121.76,113.25,8.51
2,New Orleans Pelicans,W,SW,18,8,.692,7.00,116.92,110.02,6.90,6.76,116.45,109.79,6.66
3,Cleveland Cavaliers,E,C,17,10,.630,6.04,114.58,108.28,6.30,5.95,114.74,108.53,6.22
4,Phoenix Suns,W,P,16,11,.593,4.81,118.33,113.45,4.88,5.00,118.17,113.15,5.02
5,Milwaukee Bucks,E,C,19,7,.731,4.58,112.99,108.32,4.67,3.67,112.81,109.04,3.77
6,Sacramento Kings,W,P,14,11,.560,3.00,116.06,113.29,2.77,3.15,116.72,113.78,2.94
7,Memphis Grizzlies,W,SW,17,9,.654,3.00,114.49,111.48,3.01,2.75,113.93,111.19,2.74
8,Dallas Mavericks,W,SW,13,13,.500,1.58,115.64,113.95,1.69,2.29,115.60,113.21,2.38
9,Philadelphia 76ers,E,A,14,12,.538,2.35,113.50,111.10,2.40,1.81,113.46,111.58,1.89
10,Golden State Warriors,W,P,14,13,.519,1.52,115.04,113.52,1.52,1.72,114.79,113.11,1.68
11,Brooklyn Nets,E,A,16,12,.571,1.18,114.68,113.30,1.38,1.29,114.85,113.34,1.51
12,Chicago Bulls,E,C,11,15,.423,0.04,112.24,112.22,0.01,1.38,112.39,111.02,1.37
13,New York Knicks,E,A,14,13,.519,0.89,113.83,112.91,0.92,1.25,114.01,112.71,1.30
14,Utah Jazz,W,NW,15,14,.517,1.41,116.94,115.74,1.19,1.28,116.89,115.86,1.03
15,Toronto Raptors,E,A,13,14,.481,0.85,113.62,112.87,0.74,0.69,113.95,113.32,0.62
16,Denver Nuggets,W,NW,16,10,.615,1.19,117.54,116.46,1.09,0.36,116.71,116.47,0.24
17,Portland Trail Blazers,W,NW,14,12,.538,-0.42,114.72,115.29,-0.57,-0.01,114.76,114.92,-0.16
18,Atlanta Hawks,E,SE,14,13,.519,-0.63,112.32,113.04,-0.72,-0.35,112.71,113.16,-0.45
19,Miami Heat,E,SE,12,15,.444,-1.70,111.04,112.93,-1.89,-1.37,110.79,112.34,-1.55
20,Oklahoma City Thunder,W,NW,11,15,.423,-1.73,112.25,114.03,-1.78,-1.65,112.51,114.21,-1.70
21,Indiana Pacers,E,C,14,13,.519,-0.81,114.35,114.90,-0.56,-1.99,113.72,115.46,-1.74
22,Minnesota Timberwolves,W,NW,13,13,.500,-0.65,112.99,113.60,-0.60,-1.81,112.34,114.09,-1.75
23,Los Angeles Lakers,W,P,11,15,.423,-1.50,111.98,113.34,-1.36,-2.05,111.38,113.30,-1.92
24,Washington Wizards,E,SE,11,16,.407,-2.15,112.51,114.75,-2.25,-2.26,112.86,115.16,-2.30
25,Los Angeles Clippers,W,P,15,13,.536,-1.54,110.03,111.66,-1.63,-2.74,108.90,111.77,-2.88
26,Orlando Magic,E,SE,8,20,.286,-5.14,110.71,115.93,-5.22,-4.68,111.20,115.92,-4.72
27,Detroit Pistons,E,C,7,22,.241,-7.10,110.73,117.85,-7.12,-5.49,111.66,117.15,-5.49
28,Houston Rockets,W,SW,8,18,.308,-5.96,110.73,116.86,-6.12,-5.62,110.91,116.72,-5.82
29,Charlotte Hornets,E,SE,7,20,.259,-6.78,108.56,115.33,-6.77,-6.55,109.02,115.54,-6.53
30,San Antonio Spurs,W,SW,8,18,.308,-10.38,108.97,119.18,-10.21,-10.38,109.40,119.62,-10.22
