Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
1,1,ORL,Paolo Banchero,Duke,1,13,448,296,96,44,.455,.260,.750,34.5,22.8,7.4,3.4,0.7,.070,-0.8,0.1
2,2,OKC,Chet Holmgren,Gonzaga,,,,,,,,,,,,,,,,,
3,3,HOU,Jabari Smith Jr.,Auburn,1,18,553,211,133,14,.342,.322,.857,30.7,11.7,7.4,0.8,0.4,.033,-4.5,-0.3
4,4,SAC,Keegan Murray,Iowa,1,16,466,166,63,16,.399,.319,.833,29.1,10.4,3.9,1.0,0.0,.000,-4.1,-0.2
5,5,DET,Jaden Ivey,Purdue,1,19,603,308,93,81,.421,.318,.738,31.7,16.2,4.9,4.3,0.3,.024,-1.9,0.0
6,6,IND,Bennedict Mathurin,Arizona,1,19,530,358,73,31,.438,.421,.805,27.9,18.8,3.8,1.6,1.0,.093,-1.0,0.1
7,7,POR,Shaedon Sharpe,Kentucky,1,19,385,152,45,9,.484,.396,.647,20.3,8.0,2.4,0.5,0.4,.045,-3.6,-0.1
8,8,NOP,Dyson Daniels,,1,11,168,52,38,19,.500,.429,.667,15.3,4.7,3.5,1.7,0.5,.132,0.5,0.1
9,9,SAS,Jeremy Sochan,Baylor,1,20,497,161,81,40,.473,.182,.550,24.9,8.1,4.1,2.0,0.0,-.003,-4.9,-0.4
10,10,WAS,Johnny Davis,Wisconsin,1,7,41,6,5,2,.250,.000,1.000,5.9,0.9,0.7,0.3,0.0,-.036,-11.2,-0.1
11,11,NYK,Ousmane Dieng,,1,10,156,30,23,17,.300,.192,.500,15.6,3.0,2.3,1.7,-0.1,-.019,-5.7,-0.1
12,12,OKC,Jalen Williams,Santa Clara,1,16,394,158,46,43,.500,.282,.875,24.6,9.9,2.9,2.7,0.5,.064,-3.4,-0.2
13,13,CHO,Jalen Duren,Memphis,1,19,415,119,137,10,.562,.000,.487,21.8,6.3,7.2,0.5,0.7,.083,-3.0,-0.1
14,14,CLE,Ochai Agbaji,Kansas,1,6,67,20,10,1,.421,.000,.571,11.2,3.3,1.7,0.2,0.0,.023,-8.3,-0.1
15,15,CHO,Mark Williams,Duke,1,3,13,11,8,0,.571,,1.000,4.3,3.7,2.7,0.0,0.1,.187,-2.3,0.0
16,16,ATL,AJ Griffin,Duke,1,16,282,140,32,12,.482,.390,1.000,17.6,8.8,2.0,0.8,0.6,.108,1.9,0.3
17,17,HOU,Tari Eason,LSU,1,19,348,161,101,17,.419,.378,.852,18.3,8.5,5.3,0.9,0.8,.107,0.3,0.2
18,18,CHI,Dalen Terry,Arizona,1,9,29,10,2,5,.300,.333,.750,3.2,1.1,0.2,0.6,-0.1,-.095,-5.2,0.0
19,19,MIN,Jake LaRavia,Wake Forest,1,16,295,82,50,16,.414,.388,1.000,18.4,5.1,3.1,1.0,0.4,.058,-2.7,-0.1
20,20,SAS,Malaki Branham,Ohio State,1,8,124,38,13,12,.317,.280,.833,15.5,4.8,1.6,1.5,-0.2,-.068,-8.0,-0.2
21,21,DEN,Christian Braun,Kansas,1,18,256,60,42,15,.418,.368,.538,14.2,3.3,2.3,0.8,0.3,.053,-3.3,-0.1
22,22,MEM,Walker Kessler,Auburn,1,19,295,100,95,13,.717,,.538,15.5,5.3,5.0,0.7,1.1,.177,1.3,0.2
23,23,PHI,David Roddy,Colorado State,1,20,356,116,51,11,.374,.286,.750,17.8,5.8,2.6,0.6,0.2,.022,-5.1,-0.3
24,24,MIL,MarJon Beauchamp,,1,15,232,79,44,6,.385,.293,.700,15.5,5.3,2.9,0.4,0.0,-.003,-6.8,-0.3
25,25,SAS,Blake Wesley,Notre Dame,1,2,23,16,2,4,.667,.667,.500,11.5,8.0,1.0,2.0,0.1,.144,1.4,0.0
26,26,DAL,Wendell Moore Jr.,Duke,1,3,7,0,1,0,.000,.000,.000,2.3,0.0,0.3,0.0,-0.1,-.726,-34.9,-0.1
27,27,MIA,Nikola Jović,,1,10,160,65,26,10,.396,.200,.947,16.0,6.5,2.6,1.0,0.2,.073,-2.2,0.0
28,28,GSW,Patrick Baldwin Jr.,UW-Milwaukee,1,4,24,10,6,0,.400,.250,,6.0,2.5,1.5,0.0,0.0,.030,0.4,0.0
29,29,MEM,TyTy Washington Jr.,Kentucky,1,1,4,1,0,0,,,.500,4.0,1.0,0.0,0.0,0.0,.032,-8.1,0.0
30,30,OKC,Peyton Watson,UCLA,1,6,15,6,3,0,.333,.000,,2.5,1.0,0.5,0.0,0.0,-.124,-14.4,0.0
31,31,IND,Andrew Nembhard,Gonzaga,1,14,282,94,30,43,.449,.405,1.000,20.1,6.7,2.1,3.1,0.6,.102,-0.9,0.1
32,32,ORL,Caleb Houstan,Michigan,1,15,266,62,30,12,.377,.359,.800,17.7,4.1,2.0,0.8,0.3,.046,-3.6,-0.1
33,33,TOR,Christian Koloko,Arizona,1,19,322,75,68,9,.443,.000,.618,16.9,3.9,3.6,0.5,0.5,.070,-5.9,-0.3
34,34,OKC,Jaylin Williams,Arkansas,1,5,35,14,10,3,.455,.000,.667,7.0,2.8,2.0,0.6,0.1,.089,-4.1,0.0
35,35,LAL,Max Christie,Michigan State,1,9,93,25,21,4,.471,.545,.750,10.3,2.8,2.3,0.4,0.2,.115,-0.7,0.0
36,36,POR,Gabriele Procida,,,,,,,,,,,,,,,,,,
37,37,SAC,Jaden Hardy,,1,3,10,0,2,1,.000,.000,,3.3,0.0,0.7,0.3,-0.2,-.773,-33.6,-0.1
38,38,SAS,Kennedy Chandler,Tennessee,1,8,79,20,10,16,.296,.143,.429,9.9,2.5,1.3,2.0,-0.1,-.072,-6.1,-0.1
39,39,CLE,Khalifa Diop,,,,,,,,,,,,,,,,,,
40,40,MIN,Bryce McGowens,Nebraska,1,5,30,16,2,1,.556,.333,1.000,6.0,3.2,0.4,0.2,0.1,.209,3.8,0.0
41,41,NOP,E.J. Liddell,Ohio State,,,,,,,,,,,,,,,,,
42,42,NYK,Trevor Keels,Duke,1,1,1,0,1,0,.000,.000,,1.0,0.0,1.0,0.0,0.0,-.811,-44.7,0.0
43,43,LAC,Moussa Diabaté,Michigan,1,2,6,3,2,1,1.000,,1.000,3.0,1.5,1.0,0.5,0.1,.529,19.8,0.0
44,44,ATL,Ryan Rollins,Toledo,1,7,43,15,7,3,.333,.375,1.000,6.1,2.1,1.0,0.4,-0.3,-.326,-21.4,-0.2
45,45,CHO,Josh Minott,Memphis,,,,,,,,,,,,,,,,,
46,46,DET,Ismael Kamagate,,,,,,,,,,,,,,,,,,
47,47,MEM,Vince Williams Jr.,VCU,1,5,26,7,3,2,.375,.167,,5.2,1.4,0.6,0.4,0.1,.100,0.4,0.0
48,48,MIN,Kendall Brown,Baylor,1,2,8,2,0,1,1.000,,,4.0,1.0,0.0,0.5,0.1,.300,10.7,0.0
49,49,CLE,Isaiah Mobley,USC,1,6,18,7,7,0,.500,.500,,3.0,1.2,1.2,0.0,0.1,.165,1.8,0.0
50,50,MIN,Matteo Spagnolo,,,,,,,,,,,,,,,,,,
51,51,GSW,Tyrese Martin,UConn,1,7,21,7,4,0,.500,.333,,3.0,1.0,0.6,0.0,0.1,.135,0.2,0.0
52,52,NOP,Karlo Matković,,,,,,,,,,,,,,,,,,
53,53,BOS,JD Davison,Alabama,1,3,8,2,1,1,.250,.000,,2.7,0.7,0.3,0.3,0.0,-.291,-13.0,0.0
54,54,WAS,Yannick Nzosa,,,,,,,,,,,,,,,,,,
55,55,GSW,Gui Santos,,,,,,,,,,,,,,,,,,
56,56,CLE,Luke Travers,,,,,,,,,,,,,,,,,,
57,57,POR,Jabari Walker,Colorado,1,10,76,23,20,9,.500,.200,.667,7.6,2.3,2.0,0.9,0.2,.135,0.8,0.1
58,58,IND,Hugo Besson,,,,,,,,,,,,,,,,,,
