Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,"",OWS,DWS,WS,WS/48,"",OBPM,DBPM,BPM,VORP
1,Precious Achiuwa,C,23,TOR,8,178,12.0,.486,.333,.365,8.1,31.7,19.7,7.8,0.3,1.7,12.0,20.3,NA,0.0,0.2,0.2,.054,NA,-3.1,-1.8,-4.9,-0.1
2,Steven Adams,C,29,MEM,8,215,13.7,.529,.000,.553,15.7,25.2,20.5,11.3,1.1,5.1,26.5,12.3,NA,0.1,0.2,0.3,.057,NA,-2.5,-0.3,-2.8,0.0
3,Bam Adebayo,C,25,MIA,9,315,16.7,.596,.017,.350,7.2,19.8,13.4,16.1,1.7,2.9,18.7,23.2,NA,0.2,0.4,0.6,.092,NA,-1.4,0.8,-0.6,0.1
4,Ochai Agbaji,SG,22,UTA,4,59,7.3,.453,.316,.368,7.3,7.2,7.3,2.3,0.0,0.0,0.0,15.6,NA,0.0,0.0,0.0,.040,NA,-5.6,-3.8,-9.4,-0.1
5,Santi Aldama,PF,22,MEM,8,235,12.3,.531,.424,.288,7.9,15.2,11.6,3.9,1.0,3.9,6.3,13.9,NA,0.3,0.1,0.4,.078,NA,-1.8,-1.3,-3.0,-0.1
6,Nickeil Alexander-Walker,SG,24,UTA,5,39,20.6,.563,.563,.250,0.0,8.2,4.1,33.9,4.9,4.2,10.1,21.1,NA,0.1,0.1,0.2,.213,NA,1.1,4.6,5.7,0.1
7,Grayson Allen,SG,27,MIL,7,182,9.0,.500,.648,.296,2.3,9.9,6.1,13.0,1.3,0.0,12.8,15.9,NA,0.0,0.3,0.4,.092,NA,-3.6,0.3,-3.3,-0.1
8,Jarrett Allen,C,24,CLE,7,231,16.9,.578,.030,.288,15.5,27.0,21.3,5.8,0.2,3.1,10.8,15.9,NA,0.4,0.5,0.9,.186,NA,0.7,0.6,1.2,0.2
9,Jose Alvarado,PG,24,NOP,7,146,12.7,.611,.531,.082,0.8,9.9,5.4,17.4,2.0,0.6,17.8,17.9,NA,0.1,0.1,0.2,.082,NA,-0.7,-0.6,-1.3,0.0
10,Kyle Anderson,PF,29,MIN,4,49,9.8,.621,.333,2.000,6.4,16.1,11.3,11.9,1.0,1.8,26.2,6.4,NA,0.1,0.1,0.1,.114,NA,-2.4,1.5,-0.9,0.0
11,Giannis Antetokounmpo,PF,28,MIL,7,234,35.0,.620,.163,.542,7.1,31.1,19.3,30.6,1.6,4.2,10.0,37.2,NA,1.0,0.7,1.6,.337,NA,8.2,4.7,12.9,0.9
12,Thanasis Antetokounmpo,SF,30,MIL,2,6,2.0,,,,0.0,16.6,8.5,0.0,0.0,0.0,,0.0,NA,0.0,0.0,0.0,.075,NA,-6.1,-0.6,-6.7,0.0
