Team,Min,Box Outs,OFF Box Outs,DEF Box Outs,% Box Outs Off,% Box Outs Def
Atlanta Hawks,48.1,9,1.5,7.6,16.2,83.8
Boston Celtics,48.5,10,1.7,8.3,17.1,82.9
Brooklyn Nets,48.2,8.2,1.9,6.3,23.5,76.5
Charlotte Hornets,48.5,7.3,1.3,6,17.4,82.6
Chicago Bulls,48.1,8.5,1.4,7.1,16,84
Cleveland Cavaliers,48.1,7.9,1.4,6.5,17.7,82.3
Dallas Mavericks,48.2,8.8,1.4,7.4,16,84
Denver Nuggets,48.3,7.6,1.9,5.7,25,75
Detroit Pistons,48.2,8.9,1.9,7,21.4,78.6
Golden State Warriors,48.1,8.4,1.4,7,16.8,83.2
Houston Rockets,48.2,7.5,1.3,6.3,17.1,82.9
Indiana Pacers,48.5,7.7,1.9,5.8,24.9,75.1
LA Clippers,48.2,8.2,1.5,6.8,18,82
Los Angeles Lakers,48.7,7.9,2,5.9,25.7,74.3
Memphis Grizzlies,48.2,9.3,2.6,6.7,27.6,72.4
Miami Heat,48.4,11.1,1.9,9.2,16.9,83.1
Milwaukee Bucks,48.2,9.5,2.2,7.3,22.8,77.2
Minnesota Timberwolves,48.2,6.9,1.1,5.8,16.2,83.8
New Orleans Pelicans,48.2,8.4,1.9,6.5,22.8,77.2
New York Knicks,48.2,10.2,2.4,7.8,23.8,76.2
Oklahoma City Thunder,48.3,6.7,0.8,5.8,12.5,87.5
Orlando Magic,48.2,7.9,1.4,6.5,18.1,81.9
Philadelphia 76ers,48.3,7.6,1.8,5.8,23.4,76.6
Phoenix Suns,48.1,8,1.4,6.6,17.2,82.8
Portland Trail Blazers,48.1,6.8,1.3,5.5,18.9,81.1
Sacramento Kings,48.3,7.1,1.1,6,16,84
San Antonio Spurs,48.3,8.5,1.6,6.8,19.2,80.8
Toronto Raptors,48.4,8.3,1.4,6.9,16.8,83.2
Utah Jazz,48.1,8,2.1,5.9,26.6,73.4
Washington Wizards,48.4,8.3,1.5,6.8,18.1,81.9
