TEAM,Min,ScreenAssists,ScreenAssists PTS,Deflections,OFF Loose BallsRecovered,DEF Loose BallsRecovered,Loose BallsRecovered,% Loose BallsRecovered OFF,% Loose BallsRecovered DEF,ChargesDrawn,Contested2PT Shots,Contested3PT Shots,ContestedShots
Atlanta Hawks,48.1,9.5,21.6,13.9,2.5,2.5,5,49.9,50.1,0.57,30.2,19.8,50
Boston Celtics,48.5,8.3,19.4,12.3,3.2,3,6.2,51.8,48.2,0.52,33.5,21.6,55
Brooklyn Nets,48.2,8.7,20.5,14,2.7,2.6,5.3,50.3,49.7,0.52,28.5,20.4,48.9
Charlotte Hornets,48.5,7.2,16.7,16,3.1,3.1,6.2,49.5,50.5,0.44,27.5,20.9,48.4
Chicago Bulls,48.1,10.3,22.5,13.4,2.7,2.8,5.6,49.3,50.7,0.29,30,18.5,48.5
Cleveland Cavaliers,48.1,7.5,17.1,12.5,3,2.6,5.6,52.9,47.1,0.5,33,19.3,52.4
Dallas Mavericks,48.2,8.9,20.3,11.8,2.4,2.2,4.7,51.8,48.2,0.62,31.4,17.8,49.2
Denver Nuggets,48.3,7.3,17.3,13.1,2.1,2.2,4.3,49,51,0.49,28.4,19.4,47.7
Detroit Pistons,48.2,7.7,17.5,14.9,2.8,2.9,5.7,49.4,50.6,0.59,32.4,19.7,52.1
Golden State Warriors,48.1,10,25.3,14.9,2.9,2.8,5.7,50.3,49.7,0.39,29.7,23.3,53
Houston Rockets,48.2,7.1,17.4,13.4,2.9,2.6,5.5,52.7,47.3,0.78,27.9,19.1,47
Indiana Pacers,48.5,8.6,19.7,13.5,2.7,2.6,5.3,50.8,49.2,0.18,30.8,19.7,50.5
LA Clippers,48.2,9.3,21.2,12.4,2.5,2.4,4.8,50.9,49.1,0.49,32.2,18.4,50.6
Los Angeles Lakers,48.7,7.1,16.6,14.2,2.2,2.4,4.7,48,52,0.62,26.8,19.4,46.2
Memphis Grizzlies,48.2,10.3,22.9,17.4,3.3,3.4,6.6,49.1,50.9,0.16,32.4,21.6,54
Miami Heat,48.4,9.7,24,14,3.1,3.1,6.2,50.4,49.6,1.35,24.5,22.2,46.8
Milwaukee Bucks,48.2,7,16.6,14.5,2.8,2.9,5.7,49.5,50.5,0.32,29,25.8,54.8
Minnesota Timberwolves,48.2,8,19.4,16.7,2.9,3.2,6.1,48.1,51.9,0.61,28.1,20.3,48.4
New Orleans Pelicans,48.2,8.2,18.4,15.3,3,2.8,5.8,51.5,48.5,0.37,28.8,21.2,50
New York Knicks,48.2,8.9,21.4,12.8,3.1,2.9,6,51.6,48.4,0.33,27.9,21.9,49.9
Oklahoma City Thunder,48.3,6.8,15.2,13.1,2.9,2.7,5.6,51.3,48.7,0.28,31.3,25.9,57.3
Orlando Magic,48.2,8.3,18.9,12.9,2.5,2.7,5.1,48,52,0.51,28.3,20.9,49.2
Philadelphia 76ers,48.3,8,18.1,14.7,2.1,3.1,5.2,40.6,59.4,0.28,28.7,16.9,45.6
Phoenix Suns,48.1,11.1,24.6,14.2,2.5,3,5.5,45.9,54.1,0.27,30.6,19.6,50.2
Portland Trail Blazers,48.1,9.8,23.3,14.6,2.9,2.5,5.4,52.9,47.1,0.48,24.7,21.6,46.3
Sacramento Kings,48.3,10.3,24.1,13.8,2.7,2.4,5.1,52.5,47.5,0.33,30.9,21,51.9
San Antonio Spurs,48.3,10.6,23.1,14.1,2.6,3,5.5,46.6,53.4,0.46,34.6,20.2,54.8
Toronto Raptors,48.4,7,16.4,17.6,2.9,3.5,6.3,45.3,54.7,0.41,30.2,21.8,52.1
Utah Jazz,48.1,11.1,26.4,12.2,2.4,2.4,4.8,50,50,0.13,28.2,19,47.2
Washington Wizards,48.4,9.6,21.2,11.6,2.9,2.5,5.4,54.4,45.6,0.4,33.2,17.7,50.9
