TEAM,GP,POSS,FREQ%,PPP,PTS,FGM,FGA,FG%,EFG%,FTFREQ%,TOVFREQ%,SFFREQ%,AND ONEFREQ%,SCOREFREQ%,PERCENTILE
Utah Jazz,82,25,22.9,1,25,9.3,20.1,46.1,54,8.9,13,7.6,2.5,43.4,100
Atlanta Hawks,82,24.1,22,0.92,22,8,18.8,42.8,48.8,9,14.2,5.9,1.3,41,79.3
Chicago Bulls,82,22.4,20.7,0.96,21.5,8.2,17.4,46.8,50.1,11.3,12.8,10.1,1.9,45.5,96.6
Phoenix Suns,82,21.7,19.6,0.92,19.8,7.9,17.2,45.8,49.2,8.6,13.6,6.3,1.5,43.1,82.8
Sacramento Kings,82,22.2,20,0.86,19.2,7.5,17.8,42.3,46.6,8.6,13.5,7.9,2.1,39.9,44.8
Dallas Mavericks,82,20.4,19.3,0.93,19,7.1,15.8,44.6,49.6,11.3,13.3,10.1,2.3,43.1,86.2
Indiana Pacers,82,21,18.7,0.9,18.8,7.3,16.2,44.8,48.8,9.7,15,8.5,2,41.9,69
New York Knicks,82,21.5,19.8,0.86,18.5,6.5,17.2,37.7,44.1,10.6,11.9,9.6,2.3,38.1,37.9
San Antonio Spurs,82,21,18.5,0.87,18.3,7.5,17.1,44.1,46.5,8.3,12.5,7.7,2,41.8,48.3
Oklahoma City Thunder,82,22,19.8,0.8,17.5,6.7,16.8,40.2,44.3,8,17,6.9,1.2,37.3,6.9
LA Clippers,82,19.8,18.3,0.86,17.1,6.6,15.9,41.7,46.7,7.3,14,6.5,1.7,38.9,41.4
Portland Trail Blazers,82,18.8,17.1,0.9,17,6.2,14.9,41.8,48.4,9.4,13.4,7.9,2,40,72.4
Memphis Grizzlies,82,19.7,16.9,0.85,16.7,6.9,16,43.1,45.4,8.2,12.4,7.4,1.9,40.8,24.1
Washington Wizards,82,18.8,17.5,0.86,16.2,6.4,14.5,44.5,47.4,8.7,16.1,7.8,1.6,41.1,34.5
Philadelphia 76ers,82,16.9,15.9,0.93,15.7,6.1,13.8,44,48.3,8.9,11.3,7.8,2.3,42.5,89.7
Boston Celtics,82,17.3,15.8,0.88,15.1,5.7,13.1,43.7,49,8.9,16.8,7.3,1.6,39.9,51.7
Orlando Magic,82,20,18.1,0.75,14.9,5.5,15,36.6,40.3,8.9,16.9,7.8,1.3,35.1,0
Miami Heat,82,16.4,15.2,0.89,14.6,5.1,12.2,42,47.7,10.9,16.2,9.3,1.4,40.4,65.5
Houston Rockets,82,17.8,15.9,0.81,14.4,5.2,12.9,40.4,47.7,8.5,20.4,7.1,1.6,35.8,17.2
New Orleans Pelicans,82,17.9,16.1,0.8,14.3,5.6,13.9,40.3,43.5,8.9,15.3,7.9,2,37.8,10.3
Minnesota Timberwolves,82,16,14,0.88,14.1,5,12.2,40.8,47.3,10.8,14.3,8,1.6,40.3,58.6
Milwaukee Bucks,82,15.2,13.6,0.91,13.9,5.2,11.6,44.4,50.9,8.9,16.4,7.4,1.8,40.6,75.9
Cleveland Cavaliers,82,16.1,15,0.85,13.8,5.4,12.3,43.7,48.8,7.4,18,6.3,1.7,38.9,27.6
Brooklyn Nets,82,15.5,14,0.89,13.7,5,11.6,43,48.1,10.3,17.5,9.6,2.3,40.1,62.1
Toronto Raptors,82,15.5,13.8,0.88,13.6,5.1,12.6,40.6,45.8,8.1,11.7,6.9,1.1,39.9,55.2
Los Angeles Lakers,82,15.8,14.1,0.85,13.5,5.2,12,43.4,48.2,8.9,17.4,8.3,1.8,39.4,31
Charlotte Hornets,82,16.5,14.6,0.82,13.5,5.4,13.2,41.2,45.1,6.4,15,5.5,1.6,37.6,20.7
Detroit Pistons,82,17.4,15.7,0.77,13.4,5.3,12.9,40.7,43.9,7.8,19.5,6.6,1.7,36.1,3.4
Golden State Warriors,82,13.8,12.6,0.94,13,4.6,10.5,44.1,52.5,9.2,17.2,8,2.5,40.2,93.1
Denver Nuggets,82,12.5,11.4,0.81,10,3.9,9.7,40.3,44.9,6.8,16.8,5.1,1.2,36.9,13.8
