TEAM,GP,POSS,FREQ%,PPP,PTS,FGM,FGA,FG%,EFG%,FTFREQ%,TOVFREQ%,SFFREQ%,AND ONEFREQ%,SCOREFREQ%,PERCENTILE
Memphis Grizzlies,82,22.3,19.1,1.11,24.8,9.3,17.8,52.3,58.8,13,10.2,11.7,3,50.8,37.9
Charlotte Hornets,82,21.3,18.9,1.15,24.5,9.1,17,53.5,61.4,11.9,10.7,10.7,2.5,51.8,62.1
Milwaukee Bucks,82,21.3,19,1.14,24.1,8.4,16.3,51.6,60.7,15.1,11.2,13.6,3.1,50.6,58.6
Los Angeles Lakers,82,20.9,18.6,1.13,23.5,8.6,15.8,54.4,62.3,13.7,13.4,12.2,3,51.1,51.7
Toronto Raptors,82,20.6,18.4,1.09,22.5,8.4,15.8,53.1,59,13.9,12.6,12.8,3.3,50.6,20.7
New Orleans Pelicans,82,18.5,16.7,1.17,21.7,8,14.5,54.9,61.6,15.4,10.3,14.1,4,53.6,89.7
Minnesota Timberwolves,82,19.4,17,1.11,21.5,7.9,15.2,52,59.6,12.9,12.1,11.8,3.4,49.7,34.5
Phoenix Suns,82,17.3,15.6,1.16,20,7.4,14.1,52.6,60.5,11.6,10,10.6,3.2,51.1,79.3
Denver Nuggets,82,17.3,15.9,1.15,20,7.4,13.2,55.7,63.2,13.4,13.1,11.8,3,52.1,72.4
Oklahoma City Thunder,82,18.1,16.3,1.09,19.7,7.3,14.1,51.8,58.4,13.3,11.2,11.6,2.2,50.5,17.2
San Antonio Spurs,82,17.1,15,1.15,19.6,7.3,13.7,53,60.8,12.1,10.1,10.6,2.4,51.7,65.5
Orlando Magic,82,17.7,16,1.1,19.4,7.1,14.4,49.2,57.3,11.1,9.5,10.3,1.9,48.7,27.6
Detroit Pistons,82,17.1,15.4,1.12,19.2,6.9,12.9,53.7,60,16.1,12.4,14.7,3.8,52.2,41.4
Houston Rockets,82,18.5,16.5,1.04,19.2,7.1,13.3,52.9,59,14,16.2,12.9,2.4,48.9,0
Brooklyn Nets,82,16.5,15,1.16,19.1,7.3,12.9,56.7,63.8,12.1,12.8,11.1,3.5,52.6,75.9
Cleveland Cavaliers,82,16.3,15.2,1.17,19.1,7.1,12.8,55.9,63.3,13.5,11.5,12.1,3.5,53.2,93.1
LA Clippers,82,17.7,16.3,1.07,18.9,6.8,13.7,49.6,57.4,12,12.4,11.1,2,48,6.9
Golden State Warriors,82,16.6,15.1,1.12,18.6,6.9,12.6,54.5,62.3,12.7,13.6,11,2.6,50.9,44.8
Sacramento Kings,82,16.8,15.1,1.1,18.4,6.7,12.8,52.4,58.7,15,12.3,13.1,3.6,50.8,24.1
Miami Heat,82,15.6,14.5,1.16,18.1,6.5,12,53.9,62.8,12.9,12.6,11.8,2.5,51.8,82.8
Chicago Bulls,82,15.2,14.1,1.19,18,6.7,11.3,59.2,64.7,15.5,13.5,14.1,3.5,55.5,96.6
Indiana Pacers,82,15.8,14.1,1.13,17.8,6.7,12.5,53.4,61.1,10.7,12,9.6,2.2,50.6,48.3
Atlanta Hawks,82,15.1,13.9,1.17,17.7,6.4,12,53.5,62.5,12.4,10.5,10.1,2.3,52,86.2
New York Knicks,82,15.2,13.9,1.13,17.2,6,11.4,52.6,60.4,15.7,11.2,14.1,2.5,51.7,55.2
Philadelphia 76ers,82,14.4,13.6,1.19,17.1,6.2,11.1,55.5,63.9,14.2,12.2,13.4,3.6,53.1,100
Portland Trail Blazers,82,16.3,14.8,1.05,17.1,6.3,12.6,50.2,57.2,12.4,12.4,11.8,2.6,48.2,3.4
Utah Jazz,82,15.6,14.3,1.08,16.9,6.1,12.2,49.9,59,11.9,12.9,9.9,3.1,47.6,13.8
Boston Celtics,82,15.6,14.3,1.08,16.8,6.3,12,52.8,57.7,13.3,12.8,12.1,3.2,50.4,10.3
Washington Wizards,82,14.9,13.9,1.1,16.5,6.2,11.6,53.5,59.6,13.1,12.5,12,3.2,50.9,31
Dallas Mavericks,82,13,12.3,1.15,14.9,5.7,10.6,53.6,61.8,11.2,10.5,10.4,3.5,50.6,69
